Outfall Structure,Outfall Location,Tide Gate #,Waterway Reach,Plant,Open date/time,Close date/time,Gate Open Period
DS-N05,"Forest Glen Ave (S), West of Cicero",TG1,NBCR Upper (NSC Confluence),Stickney,5/14/2016 22:55,5/25/2016 19:54,:20:58:56
DS-M40,Normal Ave (S),TG1,SB Chicago R,Stickney,5/25/2016 19:19,5/25/2016 19:54,:00:34:56
DS-N02,Foster Ave & Keeler (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:34,5/25/2016 19:54,:01:20:28
DS-M70,North Ave (E),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:34,5/25/2016 19:58,:01:24:24
DS-N10B,Imlay St & Milwaukee (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:43,5/25/2016 20:08,:01:24:08
DS-N13R,6872 Touhy Ave (Franks and Nieman) (E),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:49,5/25/2016 20:08,:01:18:52
DS-N08,Mango Ave ext. (Leonard & Miltmore) (W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:48,5/25/2016 20:08,:01:19:44
DS-M84,Roscoe St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:31,5/25/2016 20:08,:01:37:20
DS-M15,Kenton Ave (Kostner Ave Ext.) (N),TG2,CSSC Upper (SWRP),Stickney,5/25/2016 17:58,5/25/2016 20:08,:02:09:44
DS-M66,Blackhawk St (W),TG2,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:34,5/25/2016 20:09,:01:35:08
DS-M66,Blackhawk St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 18:33,5/25/2016 20:09,:01:35:44
DS-M09,Hiawatha Ave (Highland Ave ext.) (N),TG1,CSSC Lower (SWRP),Stickney,5/25/2016 18:41,5/25/2016 20:20,:01:39:00
DS-N18,East of Caldwell Ave at Main St ext.(W),TG1,NBCR Upper (NSC Confluence),Stickney,5/25/2016 18:59,5/25/2016 20:49,:01:50:06
DS-M83,Melrose St & North Rockwell St (W),TG1,NBCR Lower (NSC Confluence),Stickney,5/25/2016 20:43,5/25/2016 20:59,:00:15:44
DS-M101,Mulford St (E),TG1,NSC Lower (NSWRP),Stickney,5/25/2016 19:02,5/25/2016 21:02,:02:00:12
DS-M101,Mulford St (E),TG2,NSC Lower (NSWRP),Stickney,5/25/2016 19:02,5/25/2016 21:02,:02:00:12
DS-M114N,Sheridan Rd (Wilmette P.S.) (W),TG1,NSC Upper (NSWRP),Stickney,5/25/2016 20:24,5/25/2016 21:23,:00:58:28
