disasterNumber,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,state,declarationDate,disasterType,incidentType,title,incidentBeginDate,incidentEndDate,disasterCloseOutDate,declaredCountyArea,placeCode,hash,lastRefresh
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Perry (County),99145,9cd408437bcae635d7413d1bd2315c55,2016-08-30T15:08:25 +00:00
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Union (County),99181,1fb97750569bc6c2d4e6d2ba983d3446,2016-08-30T15:08:25 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Williamson (County),99199,bc31c162b0e52cd753e004a8464faee0,2016-08-30T15:08:25 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Jackson (County),99077,aeba026556e7b0ffbdf6fe44d09a1cdb,2016-08-30T15:08:25 +00:00
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Jefferson (County),99081,289274d392a8ffa9a255b038ae47a97d,2016-08-30T15:08:25 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Pope (County),99151,913e678029eb45751ae10ec20bef271a,2016-08-30T15:08:25 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Wabash (County),99185,e4c373170814173bd6b74a056d941ab6,2016-08-30T15:08:25 +00:00
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Washington (County),99189,92f34e92221adb247461546437ddb93d,2016-08-30T15:08:26 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Lawrence (County),99101,417fa2489e33a83a61cd46d28a0d63ad,2016-08-30T15:08:26 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Pulaski (County),99153,4d7d9ba16c44ac37a7c93a28f4a0e980,2016-08-30T15:08:26 +00:00
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Hamilton (County),99065,13aa90e4970bb3d8a314a5d2e7dee414,2016-08-30T15:08:24 +00:00
1991,0,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Marion (County),99121,fcb1b4f97323341ea3d5c08fc2554cae,2016-08-30T15:08:24 +00:00
1991,1,0,1,1,IL,2011-06-07T05:31:00 +00:00,DR,Severe Storm(s),SEVERE STORMS AND FLOODING,2011-04-19T15:58:00 +00:00,2011-06-14T00:00:00 +00:00,,Randolph (County),99157,ae1d66f9a5cadb759ce5110639927e97,2016-08-30T15:08:24 +00:00
